table_id,node,namespace,pod,container,cmdline,stack_trace_id,stack_trace,count,count_x,scaling_factor,percent
Flamegraph,gke-pixiecluster-default-pool-b59132dc-2x5s,kube-system,kube-system/kube-dns-b99c7865d-nmd4z,dnsmasq,/usr/sbin/dnsmasq -k --cache-size=1000 --no-negcache --dns-forward-max=1500 --log-facility=- --server=/cluster.local/127.0.0.1#10053 --server=/in-addr.arpa/127.0.0.1#10053 --server=/ip6.arpa/127.0.0.1#10053,14711,recvmsg;[k] kretprobe_trampoline;[k] __sys_recvmsg;[k] ____sys_recvmsg;[k] security_socket_recvmsg;[k] aa_sk_perm;[k] aa_label_sk_perm,1,109547,4,0.0036514
Flamegraph,gke-pixiecluster-default-pool-b59132dc-2x5s,pl,pl/vizier-pem-sw42s,pem,/app/src/vizier/services/agent/pem/pem,14730,"std::thread::_State_impl<std::thread::_Invoker<std::tuple<void (px::stirling::StirlingImpl::*)(), px::stirling::StirlingImpl*> > >::~_State_impl();0x00000000079bcd00;execute_native_thread_routine;px::stirling::StirlingImpl::RunCore();px::stirling::StirlingImpl::GetContext();px::md::AgentMetadataStateManagerImpl::CurrentAgentMetadataState()",1,109547,4,0.0036514
Flamegraph,gke-pixiecluster-default-pool-b59132dc-2x5s,default,default/loadgen-7887ff478c-82pff,loadgen,node main.js,15308,connect;[k] kretprobe_trampoline;[k] __x64_sys_connect;[k] __sys_connect;[k] inet_stream_connect;[k] __inet_stream_connect;[k] tcp_v4_connect;[k] tcp_connect;[k] __tcp_transmit_skb;[k] __ip_queue_xmit;[k] ip_output;[k] ip_finish_output2;[k] __local_bh_enable_ip;[k] do_softirq;[k] do_softirq_own_stack;[k] asm_call_irq_on_stack;[k] __softirqentry_text_start;[k] net_rx_action;[k] process_backlog;[k] __netif_receive_skb_one_core;[k] ip_rcv;[k] ip_local_deliver;[k] ip_protocol_deliver_rcu;[k] tcp_v4_rcv;[k] tcp_v4_do_rcv;[k] tcp_rcv_state_process;[k] tcp_conn_request;[k] tcp_openreq_init_rwin,1,109547,4,0.0036514
Flamegraph,gke-pixiecluster-default-pool-b59132dc-2x5s,pl,pl/vizier-pem-sw42s,pem,/app/src/vizier/services/agent/pem/pem,13653,"std::thread::_State_impl<std::thread::_Invoker<std::tuple<void (px::stirling::StirlingImpl::*)(), px::stirling::StirlingImpl*> > >::~_State_impl();0x00000000079bcd00;execute_native_thread_routine;px::stirling::StirlingImpl::RunCore();px::stirling::SocketTraceConnector::TransferDataImpl(px::stirling::ConnectorContext*);void px::stirling::SocketTraceConnector::TransferStream<px::stirling::protocols::dns::ProtocolTraits>(px::stirling::ConnectorContext*, px::stirling::ConnTracker*, px::stirling::DataTable*);void px::stirling::SocketTraceConnector::AppendMessage<px::stirling::protocols::dns::Record>(px::stirling::ConnectorContext*, px::stirling::ConnTracker const&, px::stirling::protocols::dns::Record, px::stirling::DataTable*);px::types::ColumnWrapperTmpl<px::types::StringValue>::data_type() const",1,109547,4,0.0036514
Flamegraph,gke-pixiecluster-default-pool-b59132dc-2x5s,pl,pl/vizier-pem-sw42s,pem,/app/src/vizier/services/agent/pem/pem,7801,"std::thread::_State_impl<std::thread::_Invoker<std::tuple<void (px::stirling::StirlingImpl::*)(), px::stirling::StirlingImpl*> > >::~_State_impl();0x00000000079bcd00;execute_native_thread_routine;px::stirling::StirlingImpl::RunCore();px::stirling::SocketTraceConnector::TransferDataImpl(px::stirling::ConnectorContext*);bool px::stirling::DataStream::Empty<px::stirling::protocols::http::Message>() const",2,109547,4,0.0073028
Flamegraph,gke-pixiecluster-default-pool-b59132dc-2x5s,kube-system,kube-system/metrics-server-v0.5.2-866bc7fbf8-msdsm,metrics-server-nanny,/pod_nanny --config-dir=/etc/config --cpu=40m --extra-cpu=0.5m --memory=35Mi --extra-memory=4Mi --threshold=5 --deployment=metrics-server-v0.5.2 --container=metrics-server --poll-period=30000 --estimator=exponential --scale-down-delay=24h --minClusterSize=5 --use-metrics=true,886,runtime.goexit;runtime.main;main.main;k8s.io/autoscaler/addon-resizer/nanny.PollAPIServer;k8s.io/autoscaler/addon-resizer/nanny.updateResources;k8s.io/autoscaler/addon-resizer/nanny.(*kubernetesClient).CountNodes;k8s.io/autoscaler/addon-resizer/nanny.(*kubernetesClient).countNodesThroughMetrics;k8s.io/autoscaler/addon-resizer/nanny.getNodeCountFromDecoder;github.com/prometheus/common/expfmt.(*textDecoder).Decode;github.com/prometheus/common/expfmt.(*TextParser).TextToMetricFamilies;github.com/prometheus/common/expfmt.(*TextParser).startLabelValue-fm;github.com/prometheus/common/expfmt.(*TextParser).startLabelValue;runtime.newobject;runtime.mallocgc,9,109547,4,0.0328626
Flamegraph,gke-pixiecluster-default-pool-b59132dc-2x5s,kube-system,kube-system/fluentbit-gke-lttnx,fluentbit,/fluent-bit/bin/fluent-bit -c /fluent-bit/etc/fluent-bit.conf,13822,start_thread;flb_lib_worker;flb_engine_start;flb_input_collector_fd;in_systemd_collect;flb_systemd_db_set_cursor;sqlite3_step;sqlite3Step;sqlite3VdbeExec;sqlite3BtreeInsert;btreeOverwriteCell;btreeOverwriteContent;sqlite3PagerWrite;pager_write;pager_open_journal;sqlite3JournalOpen;sqlite3OsOpen;unixOpen;robust_open;__open;[k] entry_SYSCALL_64_after_hwframe;[k] __noinstr_text_start;[k] __x64_sys_openat;[k] do_sys_openat2;[k] do_filp_open;[k] path_openat;[k] ima_file_check;[k] security_task_getsecid,1,109547,4,0.0036514
Flamegraph,gke-pixiecluster-default-pool-b59132dc-2x5s,kube-system,kube-system/kube-dns-b99c7865d-nmd4z,dnsmasq,/usr/sbin/dnsmasq -k --cache-size=1000 --no-negcache --dns-forward-max=1500 --log-facility=- --server=/cluster.local/127.0.0.1#10053 --server=/in-addr.arpa/127.0.0.1#10053 --server=/ip6.arpa/127.0.0.1#10053,15129,[m] /lib/x86_64-linux-gnu/libc-2.31.so + 0x00077030,1,109547,4,0.0036514
Flamegraph,gke-pixiecluster-default-pool-b59132dc-2x5s,olm,olm/catalog-operator-8dc86744b-m6htm,catalog-operator,/bin/catalog -namespace olm -configmapServerImage=quay.io/operator-framework/configmap-operator-registry:latest -util-image quay.io/operator-framework/olm@sha256:b706ee6583c4c3cf8059d44234c8a4505804adcc742bcddb3d1e2f6eff3d6519,10607,runtime.goexit;k8s.io/apimachinery/pkg/watch.(*StreamWatcher).receive;k8s.io/client-go/rest/watch.(*Decoder).Decode;k8s.io/apimachinery/pkg/runtime.(*WithoutVersionDecoder).Decode;k8s.io/apimachinery/pkg/runtime.WithoutVersionDecoder.Decode;k8s.io/apimachinery/pkg/runtime/serializer/json.(*Serializer).Decode;k8s.io/apimachinery/pkg/runtime/serializer/json.(*SimpleMetaFactory).Interpret;k8s.io/apimachinery/pkg/runtime/serializer/json.SimpleMetaFactory.Interpret;encoding/json.Unmarshal;encoding/json.checkValid;encoding/json.stateInString,1,109547,4,0.0036514
Flamegraph,gke-pixiecluster-default-pool-b59132dc-2x5s,kube-system,kube-system/fluentbit-gke-lttnx,fluentbit-gke,/fluent-bit-gke-exporter --kubernetes-separator=_ --stackdriver-resource-model=k8s --enable-pod-label-discovery --pod-label-dot-replacement=_ --split-stdout-stderr --stackdriver-timeout=60s --max-inactivity-duration=600s --logtostderr,14389,runtime.goexit.abi0;runtime.bgscavenge;runtime.scavengeSleep;runtime.mcall;runtime.park_m;runtime.schedule;runtime.findrunnable;runtime.epollwait.abi0;[k] entry_SYSCALL_64_after_hwframe;[k] __noinstr_text_start;[k] __x64_sys_epoll_pwait;[k] do_epoll_wait;[k] schedule_hrtimeout_range_clock;[k] _raw_spin_unlock_irqrestore,1,109547,4,0.0036514
